Unnamed: 0,id,sku,short_description,price,list_price,discount,discount_rate,rating_average,review_count,quantity_sold,inventory_status,product_name,brand_id,brand_name
456,274015544,1542483530915,"ĐẶC ĐIỂM NỔI BẬT CỦA SẢN PHẨMLaptop ASUS Vivobook S 14 Flip TP3402VA-LZ118W là chiếc laptop siêu linh hoạt với bản lề thiết kế xoay 360 độ, dễ dàng biến đổi chiếc laptop của bạn thành chiếc máy tính ...",23150000,29890000,6740000,23,0.0,0,0,available,"ĐẶC ĐIỂM NỔI BẬT CỦA SẢN PHẨMLaptop ASUS Vivobook S 14 Flip TP3402VA-LZ118W là chiếc laptop siêu linh hoạt với bản lề thiết kế xoay 360 độ, dễ dàng biến đổi chiếc laptop của bạn thành chiếc máy tính ...",17826,Asus
457,272828266,7838369451429,"Nếu bạn đang tìm kiếm chiếc laptop lý tưởng giá thành rẻ, hiệu năng cao thì Asus Vivobook Go 14 E1404FA-NK177W sử dụng CPU AMD Ryzen 5 7000 Series sinh ra là để dành cho bạn. Đây là một mẫu máy tính m...",12390000,15590000,3200000,21,0.0,0,0,available,"Nếu bạn đang tìm kiếm chiếc laptop lý tưởng giá thành rẻ, hiệu năng cao thì Asus Vivobook Go 14 E1404FA-NK177W sử dụng CPU AMD Ryzen 5 7000 Series sinh ra là để dành cho bạn. Đây là một mẫu máy tính m...",17826,Asus
458,273647623,5267115224076,"Laptop HP Pavilion 15-eg3093TU 8C5L4PA là chiếc laptop được yêu thích hiện nay với ngoại hình sang trọng, thiết kế gọn nhẹ trẻ trung nhưng vẫn đem đến hiệu năng mạnh mẽ. Chiếc laptop HP Pavilion này h...",18390000,23990000,5600000,23,0.0,0,0,available,"Laptop HP Pavilion 15-eg3093TU 8C5L4PA là chiếc laptop được yêu thích hiện nay với ngoại hình sang trọng, thiết kế gọn nhẹ trẻ trung nhưng vẫn đem đến hiệu năng mạnh mẽ. Chiếc laptop HP Pavilion này h...",17825,HP
459,273684462,1274030598167,"ĐẶC ĐIỂM NỔI BẬTSở hữu màu đen sang trọng, thanh lịch, dễ dàng che đi các vết bẩn, trọng lượng laptop nhẹ, chỉ 1.75kgCPU R5-7530U thích hợp cho việc giải quyết các công việc văn phòng, lướt web c...",14990000,16890000,1900000,11,0.0,0,0,available,"ĐẶC ĐIỂM NỔI BẬTSở hữu màu đen sang trọng, thanh lịch, dễ dàng che đi các vết bẩn, trọng lượng laptop nhẹ, chỉ 1.75kgCPU R5-7530U thích hợp cho việc giải quyết các công việc văn phòng, lướt web c...",49067,MSI 
460,274016489,8053463712734,"Thiết kế cuốn hút - Táo bạoAsus TUF Gaming F15 FX506HF-HN078W mang phong cách ấn tượng với màu Graphite Black- đen cực kỳ táo bạo, thể hiện cá tính. Phần khung máy được hoàn thiện với các đường cắt ...",17390000,23090000,5700000,25,0.0,0,0,available,"Thiết kế cuốn hút - Táo bạoAsus TUF Gaming F15 FX506HF-HN078W mang phong cách ấn tượng với màu Graphite Black- đen cực kỳ táo bạo, thể hiện cá tính. Phần khung máy được hoàn thiện với các đường cắt ...",17826,Asus
461,272373222,1877291615670,Laptop MSI Modern 15 B12M-628VNLaptop MSI Modern 15 B12M-628VN gây ấn tượng với người dùng bởi ngoại hình hiện đại cùng với hiệu năng mạnh mẽ từ Intel Gen 12 màlại sở hữu mức giá vô cùng hợp lý. Chiế...,12990000,15990000,3000000,19,5.0,1,2,available,Laptop MSI Modern 15 B12M-628VNLaptop MSI Modern 15 B12M-628VN gây ấn tượng với người dùng bởi ngoại hình hiện đại cùng với hiệu năng mạnh mẽ từ Intel Gen 12 màlại sở hữu mức giá vô cùng hợp lý. Chiế...,49067,MSI 
462,271246114,4395540912099,"Laptop Dell Inspiron 3530 N3530-i3U085W11BLUTối ưu cho văn phòng của bạnCác bạn đang tìm cho mình một chiếc laptop đến từ một thương hiệu lớn? Vậy thì còn chần chờ gì mà không lựa chọn Dell, một tro...",12090000,16790000,4700000,28,0.0,0,0,available,"Laptop Dell Inspiron 3530 N3530-i3U085W11BLUTối ưu cho văn phòng của bạnCác bạn đang tìm cho mình một chiếc laptop đến từ một thương hiệu lớn? Vậy thì còn chần chờ gì mà không lựa chọn Dell, một tro...",18805,Dell
463,274383541,2627058619700,"Là một trong những hãng laptop đón đầu công nghệ mới, MSI tung ra hàng loạt mã laptop với nhiều cải tiến vượt bậc về cả thiết kế lẫn hiệu năng cực khủng: sử dụng cpu thế hệ 13 mới nhất, card đồ họa RT...",24890000,32990000,8100000,25,0.0,0,0,available,"Là một trong những hãng laptop đón đầu công nghệ mới, MSI tung ra hàng loạt mã laptop với nhiều cải tiến vượt bậc về cả thiết kế lẫn hiệu năng cực khủng: sử dụng cpu thế hệ 13 mới nhất, card đồ họa RT...",49067,MSI 
464,273679076,6380176122498,"Đánh giá Laptop Dell Latitude 3520 cấu hình cao, bảo hành dàiSức mạnh tuyệt đối đến từ CPU Intel thế hệ 11 Tiger LakeXuất hiện liên tục với các laptop siêu mỏng nhẹ với chứng chỉ Evo của Intel, Tig...",8650000,8650000,0,0,0.0,0,1,available,"Đánh giá Laptop Dell Latitude 3520 cấu hình cao, bảo hành dàiSức mạnh tuyệt đối đến từ CPU Intel thế hệ 11 Tiger LakeXuất hiện liên tục với các laptop siêu mỏng nhẹ với chứng chỉ Evo của Intel, Tig...",18805,Dell
465,274556325,9631092446695,"Laptop HP 14s-dq5121TU 8W355PA được thiết kế với bộ xử lý đáng tin cậy, dung lượng lưu trữ dồi dào và thiết kế bền vững, mang đến hiệu suất và các tính năng để hoàn thành công việc. Tìm hiểu chi tiết ...",10290000,13190000,2900000,22,0.0,0,0,available,"Laptop HP 14s-dq5121TU 8W355PA được thiết kế với bộ xử lý đáng tin cậy, dung lượng lưu trữ dồi dào và thiết kế bền vững, mang đến hiệu suất và các tính năng để hoàn thành công việc. Tìm hiểu chi tiết ...",17825,HP
